wl(um)	n	k
1.087	0.25382	6.95E+00
1.088	0.2541	6.96E+00
1.089	0.25437	6.96E+00
1.09	0.25464	6.97E+00
1.091	0.25492	6.98E+00
1.092	0.25519	6.98E+00
1.093	0.25547	6.99E+00
1.094	0.25574	7.00E+00
1.095	0.25602	7.00E+00
1.096	0.2563	7.01E+00
1.097	0.25658	7.02E+00
1.098	0.25686	7.02E+00
1.099	0.25714	7.03E+00
1.1	0.25742	7.04E+00
1.101	0.2577	7.05E+00
1.102	0.25798	7.05E+00
1.103	0.25826	7.06E+00
1.104	0.25854	7.07E+00
1.105	0.25882	7.07E+00
1.106	0.2591	7.08E+00
1.107	0.25938	7.09E+00
1.108	0.25966	7.09E+00
1.109	0.25994	7.10E+00
1.11	0.26022	7.11E+00
1.111	0.2605	7.11E+00
1.112	0.26078	7.12E+00
1.113	0.26106	7.13E+00
1.114	0.26134	7.13E+00
1.115	0.26162	7.14E+00
1.116	0.2619	7.15E+00
1.117	0.26218	7.15E+00
1.118	0.26247	7.16E+00
1.119	0.26276	7.17E+00
1.12	0.26304	7.17E+00
1.121	0.26333	7.18E+00
1.122	0.26362	7.19E+00
1.123	0.2639	7.19E+00
1.124	0.26419	7.20E+00
1.125	0.26447	7.21E+00
1.126	0.26476	7.21E+00
1.127	0.26505	7.22E+00
1.128	0.26533	7.23E+00
1.129	0.26562	7.23E+00
1.13	0.2659	7.24E+00
1.131	0.26619	7.25E+00
1.132	0.26648	7.25E+00
1.133	0.26676	7.26E+00
1.134	0.26705	7.27E+00
1.135	0.26734	7.27E+00
1.136	0.26762	7.28E+00
1.137	0.26791	7.29E+00
1.138	0.26819	7.29E+00
1.139	0.26848	7.30E+00
1.14	0.26877	7.31E+00
1.141	0.26906	7.31E+00
1.142	0.26935	7.32E+00
1.143	0.26964	7.33E+00
1.144	0.26994	7.33E+00
1.145	0.27023	7.34E+00
1.146	0.27052	7.35E+00
1.147	0.27081	7.36E+00
1.148	0.27111	7.36E+00
1.149	0.2714	7.37E+00
1.15	0.27169	7.38E+00
1.151	0.27198	7.38E+00
1.152	0.27228	7.39E+00
1.153	0.27257	7.40E+00
1.154	0.27286	7.40E+00
1.155	0.27315	7.41E+00
1.156	0.27345	7.42E+00
1.157	0.27374	7.42E+00
1.158	0.27403	7.43E+00
1.159	0.27432	7.44E+00
1.16	0.27462	7.44E+00
1.161	0.27491	7.45E+00
1.162	0.2752	7.46E+00
1.163	0.27549	7.46E+00
1.164	0.27579	7.47E+00
1.165	0.27609	7.48E+00
1.166	0.27639	7.48E+00
1.167	0.27668	7.49E+00
1.168	0.27698	7.50E+00
1.169	0.27728	7.50E+00
1.17	0.27758	7.51E+00
1.171	0.27788	7.52E+00
1.172	0.27818	7.52E+00
1.173	0.27848	7.53E+00
1.174	0.27878	7.54E+00
1.175	0.27907	7.54E+00
1.176	0.27937	7.55E+00
1.177	0.27967	7.56E+00
1.178	0.27997	7.56E+00
1.179	0.28027	7.57E+00
1.18	0.28057	7.58E+00
1.181	0.28087	7.58E+00
1.182	0.28117	7.59E+00
1.183	0.28147	7.60E+00
1.184	0.28176	7.60E+00
1.185	0.28206	7.61E+00
1.186	0.28236	7.62E+00
1.187	0.28266	7.62E+00
1.188	0.28296	7.63E+00
1.189	0.28327	7.64E+00
1.19	0.28357	7.64E+00
1.191	0.28388	7.65E+00
1.192	0.28418	7.66E+00
1.193	0.28449	7.66E+00
1.194	0.28479	7.67E+00
1.195	0.2851	7.68E+00
1.196	0.2854	7.68E+00
1.197	0.28571	7.69E+00
1.198	0.28601	7.70E+00
1.199	0.28632	7.70E+00
1.2	0.28662	7.71E+00
